time,ax,ay,az,aT
4.6440,7.9145,-10.3860,11.4669,17.378
4.6450,7.9145,-10.3860,11.4669,17.378
4.6610,10.4385,-8.9147,4.2817,14.379
4.6770,8.0843,-4.9408,-1.1380,9.543
4.6780,4.9512,-4.3491,-6.9112,9.550
4.6940,1.2363,-5.4366,-44.0605,44.412
4.7140,8.1973,-2.7102,-22.5238,24.122
4.7150,8.1973,-2.7102,-22.5238,24.122
4.7300,8.3211,-1.8281,-4.4261,9.601
4.7310,7.8576,-1.2489,-0.3630,7.965
4.7440,7.5705,0.1869,3.9266,8.530
4.7610,11.2015,2.1762,-1.3501,11.491
4.7620,11.2015,2.1762,-1.3501,11.491
4.7780,13.7272,4.0202,-2.7592,14.567
4.7940,12.2822,7.7505,-3.0189,14.834
4.7950,12.2822,7.7505,-3.0189,14.834
4.8140,7.5470,9.1254,-3.9450,12.482
4.8300,4.9949,9.0724,-2.6276,10.685
4.8310,4.9949,9.0724,-2.6276,10.685
4.8440,3.6804,9.4731,-0.2338,10.166
4.8600,3.5002,6.0047,0.1795,6.953
4.8610,3.5002,6.0047,0.1795,6.953
4.8780,2.6797,3.8024,1.8872,5.020
4.8940,0.6743,-1.3149,9.4241,9.539
4.8950,0.6743,-1.3149,9.4241,9.539
4.9130,-0.7663,-18.8480,15.0115,24.108
4.9140,-0.7663,-18.8480,15.0115,24.108
4.9300,-0.5465,-30.3948,-0.7402,30.409
4.9470,-2.4712,-35.3260,-3.8838,35.625
4.9480,-2.4712,-35.3260,-3.8838,35.625
4.9610,-5.3675,-30.2979,3.2458,30.940
4.9780,-4.5808,-9.3366,5.5695,11.797
4.9790,-4.5808,-9.3366,5.5695,11.797
4.9950,-3.1278,-0.4394,1.3890,3.450
5.0150,-4.2148,4.5975,1.4124,6.395
5.0160,-4.2148,4.5975,1.4124,6.395
5.0310,-6.2446,5.1902,2.0695,8.379
5.0320,-6.2446,5.1902,2.0695,8.379
5.0440,-7.8695,6.3230,2.2932,10.352
5.0610,-8.6550,8.0319,3.2465,12.246
5.0620,-8.5473,8.6040,3.8429,12.722
5.0780,-7.2693,9.4486,3.9159,12.548
5.0940,-6.2740,10.6084,1.9395,12.476
5.0950,-6.2740,10.6084,1.9395,12.476
5.1140,-1.5953,17.9280,-14.1399,22.889
5.1160,0.1445,17.8494,-5.0680,18.556
5.1310,8.1809,19.7484,0.5983,21.384
5.1450,11.5142,15.8904,-1.6925,19.696
5.1620,7.0549,0.2521,8.4477,11.009
5.1620,7.0549,0.2521,8.4477,11.009
5.1780,3.3394,0.5991,2.7851,4.389
5.1950,-2.4571,-2.8229,-3.4850,5.114
5.1960,-2.4571,-2.8229,-3.4850,5.114
5.2150,-4.7085,-12.3404,-0.6659,13.225
5.2150,-4.7085,-12.3404,-0.6659,13.225
5.2320,-6.6843,-24.9665,-8.5780,27.232
5.2320,-7.4090,-25.8670,-10.4904,28.880
5.2440,-9.2953,-14.6613,-2.2660,17.507
5.2610,-9.0501,1.1533,1.6917,9.279
5.2790,-9.6386,2.6243,3.0943,10.458
5.2800,-9.9467,2.1930,3.9354,10.919
5.2940,-8.8137,-0.3809,5.5204,10.407
5.3140,-3.2780,-9.4114,6.4102,11.849
5.3150,-3.2780,-9.4114,6.4102,11.849
5.3320,2.3403,-14.4504,6.2967,15.935
5.3330,4.4982,-14.8274,5.9740,16.606
5.3440,7.5729,-13.3076,5.8384,16.387
5.3610,9.3363,-12.3310,14.5469,21.233
5.3620,9.3363,-12.3310,14.5469,21.233
5.3770,12.5161,-12.5587,8.4652,19.648
5.3950,5.7129,-5.9841,-20.6538,22.249
5.3960,5.7129,-5.9841,-20.6538,22.249
5.4150,10.6803,1.3975,-45.0525,46.322
5.4150,10.6803,1.3975,-45.0525,46.322
5.4310,10.3020,0.5352,-13.0781,16.657
5.4450,7.6618,1.6297,-0.4842,7.848
5.4460,7.6618,1.6297,-0.4842,7.848
5.4620,6.9341,3.5753,0.7605,7.839
5.4790,8.7793,3.8226,-2.9447,10.018
5.4790,8.7793,3.8226,-2.9447,10.018
5.4960,9.2007,6.0504,-3.7131,11.621
5.5140,7.9192,8.8674,-3.1887,12.309
5.5150,7.3699,9.3562,-2.9253,12.264
5.5320,5.3767,10.1554,-2.2286,11.705
5.5330,5.3767,10.1554,-2.2286,11.705
5.5450,3.4916,9.9580,-1.2607,10.627
5.5620,3.7271,8.2719,0.9744,9.125
5.5620,3.7271,8.2719,0.9744,9.125
5.5780,3.3648,4.9081,0.4672,5.969
5.5950,2.9462,1.2234,1.7263,3.627
5.5960,2.9462,1.2234,1.7263,3.627
5.6150,2.9547,-20.9193,12.4236,24.509
5.6310,1.0561,-35.0668,10.0331,36.489
5.6320,1.0561,-35.0668,10.0331,36.489
5.6450,-10.3820,-42.8769,-9.5925,45.147
5.6620,-8.7044,-20.4636,2.1438,22.341
5.6630,-8.7044,-20.4636,2.1438,22.341
5.6790,-2.6587,-3.3065,3.8487,5.728
5.6940,-1.0587,3.4394,0.6851,3.663
5.6950,-1.0587,3.4394,0.6851,3.663
5.7120,-2.3683,5.3403,1.4226,6.013
5.7320,-4.7941,5.8093,3.3978,8.263
5.7320,-4.7941,5.8093,3.3978,8.263
5.7510,-6.5018,6.4554,3.7166,9.887
5.7520,-6.5018,6.4554,3.7166,9.887
